"SMILES","InChIKey","AromaticRingCount","HBondDonorCount","HBondAcceptorCount","FractionCarbonSP3","HeteroatomCount","HeterocycleCount","RotatableBondCount","MolecularMass","DegreeOfUnsaturation","MinEllipsoidLength","MaxDistance","LongestPiChain","LinkerLength","MaxAbsorbanceWavelength"
"CCN1c2ccccc2O/C1=C\c1[n+](CC)c2ccccc2cc1","RCVUTZHFPPLMTK-UHFFFAOYSA-N",3,0,2,0.19047619047619047,3,2,3,317.41,12,161.39571917957977,13.026754704701283,11,2,475.4349449
"CCN1C=C/C(=C/c2[n+](CC)c3ccccc3s2)c2ccccc21","SFTZBFQWPQDHFP-UHFFFAOYSA-N",3,0,2,0.19047619047619047,3,2,3,333.47,12,109.22767152614055,13.422084644995163,10,2,538.1596172
"CCN1c2ccccc2O/C1=C/c1[n+](CC)c2ccccc2o1","SXJYGDWAGOIGMC-UHFFFAOYSA-N",3,0,3,0.21052631578947367,4,2,3,307.37,11,111.86664617245943,12.924199521384818,10,2,436.225033
"C/C=C1\C(=C)C=C/C(=C\C=C\c2[n+](CC)c3ccccc3s2)N1CC","TVEQOZDZLORQGM-PTXOJBNSSA-N",2,0,2,0.22727272727272727,3,2,4,349.52,11,325.95249036126916,16.161572388349498,12,4,605.5739169
"CCN1C=C/C(=C\C=C/c2cc[n+](CC)c3ccccc23)c2ccccc21","TVRUNVZRBXNONE-UHFFFAOYSA-N",3,0,1,0.16,2,2,4,353.49,14,183.02389945104022,14.15976508000945,12,4,658.1491508
"CCN1c2ccccc2S/C1=C\C=C/C=C\C=C\c1cc[n+](CC)c2ccccc12","TWHSTEAIMSNAOL-UHFFFAOYSA-N",3,0,2,0.14814814814814814,3,2,6,411.59,15,1123.9222290534094,20.486538392885084,17,8,732.0604502
"CCN1c2ccccc2S/C1=C\c1[n+](CC)c2ccccc2cc1","UJCNDPYFYMAVSQ-UHFFFAOYSA-N",3,0,2,0.19047619047619047,3,2,3,333.47,12,211.05356639417383,13.700167043766987,12,2,495.8413006
"CCN1c2ccccc2S/C1=C\C=C/C=C\C=C\c1[n+](CC)c2ccccc2s1","UMTQICYFVVKJFV-UHFFFAOYSA-N",3,0,3,0.16,4,2,6,417.6,14,1294.0740573609216,19.873398140894274,17,8,687.8796607
"CCN1c2ccccc2O/C1=C\C=C/C=C/c1[n+](CC)c2ccccc2o1","VAGJCLDZLVQVPR-UHFFFAOYSA-N",3,0,3,0.17391304347826086,4,2,5,359.45,13,897.5141042709017,17.32303755843961,14,6,592.8840882
"CCN1c2ccccc2O/C1=C\C=C/c1[n+](CC)c2ccccc2o1","VZUFSMBGWBLOCB-UHFFFAOYSA-N",3,0,3,0.19047619047619047,4,2,4,333.41,12,172.58864922007342,14.364706786705451,12,4,465.7975411
"CCN1c2ccccc2S/C1=C/c1[n+](CC)c2ccccc2s1","WCJHMNADZOKGGL-UHFFFAOYSA-N",3,0,3,0.21052631578947367,4,2,3,339.5,11,113.03905449706174,13.246228197761043,11,2,508.1136245
"CCN1c2ccccc2O/C1=C/c1[n+](CC)c2ccccc2s1","XNZUELXWWBKRLE-UHFFFAOYSA-N",3,0,3,0.21052631578947367,4,2,3,323.43,11,113.63276697322391,13.265966268744204,10,2,480.1722106
"CCN1c2ccccc2S/C1=C\C=C/c1[n+](CC)c2ccccc2cc1","XTSHHMSLNDHACR-UHFFFAOYSA-N",3,0,2,0.17391304347826086,3,2,4,359.51,13,192.27607184382808,14.710703696239499,14,4,563.6740754
"CCN1c2ccccc2O/C1=C\C=C/C=C\C=C/c1[n+](CC)c2ccccc2o1","YFMAIXBXQGUOBW-UHFFFAOYSA-N",3,0,3,0.16,4,2,6,385.49,14,1305.0137691845325,18.942785182282442,16,8,636.5643597
"CCN1c2ccccc2O/C1=C\C=C/C=C\C=C/c1cc[n+](CC)c2ccccc12","YGOJAHFWSNHIIB-UHFFFAOYSA-N",3,0,2,0.14814814814814814,3,2,6,395.53,15,737.9678108854752,19.530439662023593,16,8,698.3484913
"C=C1N(CC)/C(=C/C=C\c2[n+](CC)c3ccccc3s2)OC1=C","YHKSRKKRTTTZQQ-UHFFFAOYSA-N",2,0,3,0.21052631578947367,4,2,4,325.45,10,155.220559194312,13.355472429733954,11,4,535.2773917
"CCN1C(=Cc2cc(C)nc(-c3ccccc3)[n+]2C)C=Cc2ccccc21","UBRISJAVIYTNDW-UHFFFAOYSA-N",3,0,2,0.16666666666666666,3,2,3,354.48,14,232.78604882176347,13.630714105043726,13,2,425.0321404
